### Data
add-3-3          "#scale[0.8]{ADD +3d M_{D}=3 TeV}"  -0.01089             50000      52471.6408701        filefi/042        ADDmonoPhoton_MD-3_d-3_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-4-1          "#scale[0.8]{ADD +4d M_{D}=1 TeV}"  -0.5932              49441      50232.1660146        filefi/042        ADDmonoPhoton_MD-1_d-4_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-4-2          "#scale[0.8]{ADD +4d M_{D}=2 TeV}"  -0.0593              50000      52034.1358171        filefi/042        ADDmonoPhoton_MD-2_d-4_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-4-3          "#scale[0.8]{ADD +4d M_{D}=3 TeV}"  -0.01054             49237      54063.6732314        filefi/042        ADDmonoPhoton_MD-3_d-4_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-5-1          "#scale[0.8]{ADD +5d M_{D}=1 TeV}"  -0.973               49603      51381.7724788        filefi/042        ADDmonoPhoton_MD-1_d-5_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-5-2          "#scale[0.8]{ADD +5d M_{D}=2 TeV}"  -0.07069             50000      53012.9812294        filefi/042        ADDmonoPhoton_MD-2_d-5_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-5-3          "#scale[0.8]{ADD +5d M_{D}=3 TeV}"  -0.01062             50000      56515.3955762        filefi/042        ADDmonoPhoton_MD-3_d-5_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-6-1          "#scale[0.8]{ADD +6d M_{D}=1 TeV}"  -1.868               50000      54978.9812714        filefi/042        ADDmonoPhoton_MD-1_d-6_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v2+AODSIM
add-6-2          "#scale[0.8]{ADD +6d M_{D}=2 TeV}"  -0.08792             50000      57244.079953         filefi/042        ADDmonoPhoton_MD-2_d-6_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM
add-6-3          "#scale[0.8]{ADD +6d M_{D}=3 TeV}"  -0.01084             50000      64034.1632991        filefi/042        ADDmonoPhoton_MD-3_d-6_TuneCUETP8M1_13TeV-pythia8+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v2+AODSIM
